Character,Personality_Summary,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Oberyn Martell,"Oberyn Martell is very conventional and practical. They are generally reliable and organized, and tend to be somewhat social and active. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are generally emotionally stable.",0.15430770880278444,0.5607958687388377,0.6182898974224883,0.2720116618075721,0.25964749536178133
Olenna Tyrell,"Olenna Tyrell is very conventional and practical. They are extremely disciplined and organized, and tend to be somewhat social and active. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are generally emotionally stable.",0.15958828964175042,0.7914600200910803,0.5865775229293899,0.3579856115107887,0.33357750163504846
Petyr Baelish,"Petyr Baelish is very conventional and practical. They are generally reliable and organized, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are extremely cooperative and compassionate. Under pressure, they are extremely calm and emotionally resilient.",0.1138240785658915,0.6229184069024345,0.3504260501402969,0.8440765368435303,0.14963174971316648
Qyburn,"Qyburn is somewhat conventional and traditional. They are somewhat spontaneous and flexible, and tend to be very introverted and solitary. In interpersonal relationships, they are generally kind and trusting. Under pressure, they are generally emotionally stable.",0.2536003501670214,0.40282002792211036,0.2444763769216839,0.6514453288646865,0.49746734204211823
Ramsay Bolton,"Ramsay Bolton is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are generally kind and trusting. Under pressure, they are generally emotionally stable.",0.11223168966002905,0.4516735897037396,0.5947173867472988,0.5219215439479763,0.298918702442925
Renly Baratheon,"Renly Baratheon is somewhat conventional and traditional. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are extremely cooperative and compassionate. Under pressure, they are extremely calm and emotionally resilient.",0.28912456143141263,0.4965165341968404,0.5522303282771657,0.9005791505791467,0.14327395577394922
Robb Stark,"Robb Stark is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are generally emotionally stable.",0.09721165615907723,0.4296353338650961,0.4048509726803622,0.41684351613983883,0.28736939370246223
Robert Baratheon,"Robert Baratheon is very conventional and practical. They are extremely disciplined and organized, and tend to be highly outgoing and energetic. In interpersonal relationships, they are extremely cooperative and compassionate. Under pressure, they are generally emotionally stable.",0.11271095857747016,0.840277701859082,0.8962137702660379,0.8489535941765197,0.33765199768383963
Roose Bolton,"Roose Bolton is somewhat conventional and traditional. They are somewhat spontaneous and flexible, and tend to be very introverted and solitary. In interpersonal relationships, they are extremely cooperative and compassionate. Under pressure, they are extremely calm and emotionally resilient.",0.35668843794269467,0.47594038962204854,0.057499652252538,0.8409193330328928,0.08918841410954717
Sandor Clegane,"Sandor Clegane is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are generally emotionally stable.",0.11126340757150932,0.41600986997117617,0.5295881392197807,0.2398303450934982,0.49601275917064874
Sansa Stark,"Sansa Stark is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are generally kind and trusting. Under pressure, they are extremely calm and emotionally resilient.",0.028611821052104247,0.358596666205918,0.6210145822068924,0.6190697365801916,0.2495038635308012
Stannis Baratheon,"Stannis Baratheon is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are generally kind and trusting. Under pressure, they are extremely calm and emotionally resilient.",0.11043085507573047,0.4568974402835161,0.5525640632423031,0.6927531927531815,0.22776885276883865
Theon Greyjoy,"Theon Greyjoy is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are extremely calm and emotionally resilient.",0.03803699315503617,0.39354732737163634,0.5122267287751804,0.4319905972860229,0.23789691983407882
Tyrion Lannister,"Tyrion Lannister is very conventional and practical. They are generally reliable and organized, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are generally emotionally stable.",0.01910521769865814,0.5722747667085369,0.46971142350662665,0.4247629553752033,0.25782814354242284
Tywin Lannister,"Tywin Lannister is very conventional and practical. They are generally reliable and organized, and tend to be somewhat social and active. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are extremely calm and emotionally resilient.",0.12351059171596024,0.5547704667132636,0.6521026270390815,0.21801612337888562,0.18333174011407266
Varys,"Varys is very conventional and practical. They are generally reliable and organized, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are extremely cooperative and compassionate. Under pressure, they are extremely calm and emotionally resilient.",0.1045108692501493,0.6919796017157493,0.4280358438730699,0.8090179926295287,0.22309284039177413
Viserys Targaryen,"Viserys Targaryen is very conventional and practical. They are generally reliable and organized, and tend to be highly outgoing and energetic. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are generally emotionally stable.",0.11877077791214385,0.5794166247380211,1.0,0.220215967427853,0.38537794299875333
Yara Greyjoy,"Yara Greyjoy is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are extremely calm and emotionally resilient.",0.12061914897750325,0.4709158434216113,0.4073515471044241,0.09067055393585144,0.17309833024118756
